<<<<<<< HEAD
"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"Jul-2014",2014,7,"North",0.159259259259259,0.86812644,0.192592592592593,0.09,0.35,0.622222222222222,0.15037037037037,23.8590908777461,0.207025658741978,35.1352941187887,7.18695652173913,4.12090893268585,7.70663661243571,2,283470,8718,321337,NA,NA,NA,NA
"Jul-2014",2014,7,"SouthCentral",0.0199874285714286,0.316602,0.140930666666667,0.0938095238095238,0.28,0.466666666666667,0.193333333333333,25.4157376955497,0.359609889923323,8.91752213734513,6.90356164383562,9.66038839583333,7.67226951128292,3,283470,8718,321337,0.08,0.0833333333333333,0.51,0
"Jul-2014",2014,7,"Suisun Bay",0.0433333333333333,NA,0.543333333333333,0.106666666666667,0.5,0.866666666666667,0.17,21.2610000635783,11.7920333437111,56.2740741235239,7.81666666666667,2.34666666666667,7.83084383570568,1,283470,8718,321337,1.915,2.38,0,5.95
"Jul-2014",2014,7,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,22.2119999694824,9.33778159333661,26.7714285169329,7.35384615384615,2.465,7.74712810462011,1,283470,8718,321337,NA,NA,NA,NA
"Aug-2014",2014,8,"Confluence",0.0225954444444444,1.75,0.304444444444444,0.0755555555555556,0.228571428571429,0.344444444444444,0.121111111111111,21.9573626615469,1.6424452819863,28.4506849994521,8.34927272727273,2.8505263095153,7.77912956639316,2,264850,8674,295825,1.97,2.88333333333333,21.4166666666667,0.216666666666667
"Aug-2014",2014,8,"North",0.136021,0.63860808,0.117941176470588,0.085,0.222222222222222,0.544117647058823,0.137941176470588,22.8073467875947,0.225516865834432,26.5254545333636,7.49166666666667,3.23909079204906,7.70383554380237,2,264850,8674,295825,NA,NA,NA,NA
"Aug-2014",2014,8,"SouthCentral",0.0206666666666667,0.1722046,0.130908266666667,0.092,0.22,0.4,0.126666666666667,24.8208247383505,0.381466216995307,7.78134147267073,7.09575757575758,8.71166666666667,7.70327782949793,3,264850,8674,295825,0.0466666666666667,0.05,0.323333333333333,0
"Aug-2014",2014,8,"Suisun Bay",0.03,NA,0.466666666666667,0.1,0.3,0.533333333333333,0.16,20.6226315789474,12.4337001563667,43.96,7.73333333333333,2.185,8,1,264850,8674,295825,1.94,2.455,0,6.135
"Aug-2014",2014,8,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,21.7,9.7743161019396,26.9,7.4,2.615,7.9,1,264850,8674,295825,NA,NA,NA,NA
"Sep-2014",2014,9,"Confluence",0.0311043333333333,1.7,0.336666666666667,0.09,0.122949142857143,0.3,0.114444444444444,21.7028440192661,1.63316126320572,20.5980645878495,8.25433333333333,4.73722222222222,7.86302490490307,3,247630,9746,273701,2.32333333333333,3.49666666666667,27.0633333333333,0.72
"Sep-2014",2014,9,"North",0.13,0.58134352,0.135068235294118,0.0976470588235294,0.433333333333333,0.549453470588235,0.132058823529412,22.6489040679452,0.251247133591613,27.3475806264032,7.02528301886792,0.99,7.80790678956481,1,247630,9746,273701,NA,NA,NA,NA
"Sep-2014",2014,9,"SouthCentral",0.0222242666666667,0.1064444,0.1359206,0.094,0.2030704,0.36,0.116,23.6699047655238,0.373154132228631,5.97684781482609,6.94275362318841,8.22571428571429,7.61383276969296,3,247630,9746,273701,0.43,0.493333333333333,3.27333333333333,0
"Sep-2014",2014,9,"Suisun Bay",0.04,NA,0.466666666666667,0.12,0.333333333333333,0.433333333333333,0.133333333333333,20.4461538461538,11.7789466558838,39.9689655172414,7.35,2.11666666666667,8.0122821040102,1,247630,9746,273701,2.9,3.725,0,9.305
"Sep-2014",2014,9,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,21.075,7.78341365687912,20.86,6.44230769230769,2.525,7.82428083920579,1,247630,9746,273701,NA,NA,NA,NA
"Oct-2014",2014,10,"Confluence",0.046,1.5,0.363,0.094,0.2375,0.38,0.111,20.6129565295597,2.35922626328663,12.5731249528854,7.82322580645161,3.73190475736346,7.63828336731823,2,196060,16677,241424,1.45166666666667,10.8039233333333,11.7371666666667,2.17366666666667
"Oct-2014",2014,10,"North",0.187222222222222,0.94792672,0.192237166666667,0.0955555555555556,0.228338181818182,0.530555555555556,0.124444444444444,19.8792682395059,0.240398768809044,33.1258620739138,7.60596153846154,5.60999978325583,7.04506436005907,1,196060,16677,241424,1.04142857142857,3.49171428571429,18.9071428571429,0
"Oct-2014",2014,10,"SouthCentral",0.0325,0.1677814,0.21548555,0.094,0.206666666666667,0.375,0.1135,20.931386149901,0.427912508603003,4.40306818311364,7.15446153846154,11.4585,7.54010809636759,2,196060,16677,241424,1.21476923076923,7.3485,23.39296875,0
"Oct-2014",2014,10,"Suisun Bay",0.0333333333333333,NA,0.44,0.11,0.433333333333333,0.5,0.13,20.8992307692308,13.9799637285548,21.451724137931,7.26666666666667,2.74833333333333,7.97878638802314,1,196060,16677,241424,2.29466666666667,11.4140066666667,0.201333333333333,7.75833333333333
